_id,name,recipe,image,category,price,
642c155b2c4774f05c36eeb8,Chicken Soup,Chicken,./images1/recipes/soup/img1.png,soup,14.7,
642c155b2c4774f05c36eeb7,Orange juice Smoothie Apple juice,0,./images1/recipes/drinks/img3.png,drinks,14.7,
642c155b2c4774f05c36eeb6,Shrimp Soup,Shrimp,./images1/recipes/soup/img2.png,soup,14.7,
642c155b2c4774f05c36eeb5,Clear drinking glasses and assorted fruits, Milkshake Smoothie Juice Fruit Banana,./images1/recipes/drinks/img4.png,drinks,11.5,
642c155b2c4774f05c36eeb4,Raddish Soup,Fresh Raddish,./images1/recipes/soup/img3.png,soup,14.7,
642c155b2c4774f05c36eeb3,Caipirinha Mojito Cocktail Juice Sour, Fruit juice and beverage cups,./images1/recipes/drinks/img5.png,drinks,15.3,
642c155b2c4774f05c36eeb1,Cocktail Tequila Sunrise Caesar Martini Vodka, cocktail,./images1/recipes/drinks/img6.png,drinks,12.6,
642c155b2c4774f05c36eeb0, Mojito Cocktail Juice Fizzy Drinks,0,./images1/recipes/drinks/img7.png,drinks,13.9,
642c155b2c4774f05c36eeaf,Prown Soup,Pan roasted haddock fillet wrapped in smoked French bacon with pea pur??e and tomato and chive vinaigrette,./images1/recipes/soup/img4.png,soup,12.5,
642c155b2c4774f05c36eeae,Chicken Broth,Warm goats cheese and roasted vegetable salad with black olive tapenade crostini,./images1/recipes/soup/img5.png,soup,10.5,
642c155b2c4774f05c36eead,Crab Soup,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,./images1/recipes/soup/img6.png,soup,14.5,
642c155b2c4774f05c36eeac,Cocktail Orange juice Soft drink, Drink,./images1/recipes/drinks/img8.png,drinks,14.5, croutons and a mustard dressing;https://i.ibb.co/HCrDdk6/img1.png;salad;14.5
642c155b2c4774f05c36eeab,Goats Cheese Pizza,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/HCrDdk6/img1.png,salad,14.5,
642c155b2c4774f05c36eeaa,Haddock,Chargrilled fresh tuna steak (served medium rare) on classic Ni??oise salad with French beans.,https://i.ibb.co/HCrDdk6/img1.png,salad,14.7,
642c155b2c4774f05c36eea9,Several juice cups, Tea Juice Cocktail garnish Limeade Lemonade,./images1/recipes/drinks/img9.png,drinks,16,
642c155b2c4774f05c36eea8,tea cup with orange slice, Green tea Coffee Iced tea Lemon,./images1/recipes/drinks/img10.png,drinks,15.2,
642c155b2c4774f05c36eea7,Smoothie Milkshake Ice cream Juice Slush, ice cream,./images1/recipes/drinks/img11.png,drinks,18.5,
642c155b2c4774f05c36eea6,Chicken and Walnut Salad,Pan roasted pork belly with gratin potato,,,,
642c155b2c4774f05c36eea5,Fish Parmentier,Saut??ed breaded veal escalope with watercress,,,,
642c155b2c4774f05c36eea4,Chicken and Walnut Salad,Pan roasted pork belly with gratin potato,,,,
642c155b2c4774f05c36ee712,Roast Duck Breast,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/HCrDdk6/img1.png,popular,14.5,
642c155b2c4774f05c36ee74,Roast Duck Breast,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/W5T6Gmj/img3.png,popular,14.5,
642c155b2c4774f05c36ee7x,Roast Duck Breast,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/qJCmcpC/img2.png,popular,14.5,
642c155b2c4774f05c36ee7f,Roasted Pork Belly,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/qJCmcpC/img2.png,popular,14.5,
642c155b2c4774f05c36ee7e,Fish Parmentier,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/HCrDdk6/img1.png,popular,14.5,
642c155b2c4774f05c36ee7c,Escalope de Veau,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/HCrDdk6/img1.png,popular,14.5,
642c155b2c4774f05c36ee7a,Roast Duck Breast,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,https://i.ibb.co/qJCmcpC/img2.png,popular,14.5,
642c155b2c4774f05c36eea0,Roasted Pork Belly,Chargrilled chicken with avocado,,,, croutons and a mustard dressing;https://i.ibb.co/W5T6Gmj/img3.png;pizza;14.5
642c155b2c4774f05c36ee99,Mushroom Pizza,"Mushroom, tomatoe cheeze",./images1/recipes/pizza/img1.png,pizza,14.5,
642c155b2c4774f05c36ee98,Breton Fish Stew,Chargrilled chicken with avocado,,,, croutons and a mustard dressing;https://i.ibb.co/HCrDdk6/img1.png;pizza;12.9
642c155b2c4774f05c36ee97,Chicken Pizza,"Chicken,onion,Pineapple",./images1/recipes/pizza/img2.png,pizza,14.7,
642c155b2c4774f05c36ee96,Fish Parmentier,Saut??ed breaded veal escalope with watercress,,,,
642c155b2c4774f05c36ee95,Chicken and Walnut Salad,Pan roasted pork belly with gratin potato,,,,
642c155b2c4774f05c36ee94,Chicken (grilled or roasted),Chicken (grilled or roasted),./images1/recipes/pizza/img3.png,pizza,12.5,
642c155b2c4774f05c36ee93,Red onions (sliced or caramelized),Warm goats cheese and roasted vegetable salad with black olive tapenade crostini,./images1/recipes/pizza/img4.png,pizza,10.5,
642c155b2c4774f05c36ee9e,Breton Fish Stew,Chargrilled chicken with avocado,,,, croutons and a mustard dressing;https://i.ibb.co/qJCmcpC/img2.png;pizza;12.9
642c155b2c4774f05c36ee9d,Goats Cheese Pizza,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,./images1/recipes/pizza/img5.png,pizza,14.5,
642c155b2c4774f05c36ee9c,Breton Fish Stew,Chargrilled chicken with avocado,,,, croutons and a mustard dressing;https://i.ibb.co/HCrDdk6/img1.png;pizza;12.9
642c155b2c4774f05c36ee9b,Goats Cheese Pizza,Roasted duck breast (served pink) with gratin potato and a griottine cherry sauce,./images1/recipes/pizza/img6.png,pizza,14.5,
